;Unnamed: 0.1;Unnamed: 0;GV_Key;Date_cal;Ticker Symbol;Company Name;Quarter;Fiscal Data Year and Quarter;Final Date;Date_rep;Assets;Cash;Long-Term Debt;Net Income;EBIT;EBITDA;Revenue;Stockholders Equity;HQ;Share_Price;Share_Price_BD;Div_Per_Share_Ann;Div_Yield;Market_Cap;Beta_1Y;Beta_2Y;Beta_5Y;Rev_1y_Growth;Rev_2y_Growth;Primary Industry;Industry Sector;Industry Group;Industry;Shares_out;EBITDA_Margin;Profit_Margin;Leverage;Debt/Assets;Cash/Assets;ROE;P/B;P/Sales;P/EBITDA;P/EBIT;P/E;Universe;P/EBIT AVG;P/EBITDA AVG;P/Sales AVG;P/E AVG
4549;4549;4549;GV_014551;31.03.2017;SAMG;SILVERCREST ASSET MGT;2017Q1;2017Q1;28.05.2017;04.05.2017;-0.326132509;-0.295000219;-0.240856809;-0.208541524;-0.240224492;-0.284955459;-0.344778686;-0.376892552;31;-0.423867787;9.96335;0.47826087;1.813323843;-0.352817775;1.187660704;0.359915061;0.325937692;-0.021634721;0.143735589;11;4;9;8;-0.445464242;0.537990217;0.162042644;-0.772137543;-0.86441799;1.22904544;-0.01056058;-0.311961923;-0.248941412;-0.435009951;-0.442769204;-0.079970315;Value;-0.26;-0.14;0.09;-0.1
4573;4573;4573;GV_014624;31.03.2017;ODP;ODP CORP;2017Q1;2017Q1;10.05.2017;09.05.2017;0.567388699;1.621767097;0.33847158;1.243905151;0.861463749;0.734079628;2.494723908;0.58873706;31;0.252077508;46.96857;1.043478261;0.876384056;0.075918213;1.003605366;0.203471586;2.419602339;-0.367880857;-1.500944716;106;1;3;62;4.098100727;-0.463248192;-0.129411965;-0.13514646;0.301375532;0.460238009;0.70601743;-0.37123074;0.294986065;2.699317268;2.316396558;1.623084126;Value;-0.04;0.03;-0.3;0.13
4597;4597;4597;GV_014790;31.03.2017;MTH;MERITAGE HOMES CORP;2017Q1;2017Q1;16.05.2017;27.04.2017;0.152648223;-0.12763399;0.351873674;0.069526547;-0.014133646;-0.104754348;0.354668617;0.329903359;31;0.125343953;40.03043;-0.043478261;-0.125988611;-0.103483328;1.462716601;0.843490289;0.301686376;0.455974965;0.655776482;67;1;4;35;-0.157758876;-0.540121649;-0.203037865;0.512597536;-0.133554486;-0.359922104;-0.191046496;-0.463694223;-0.37922596;0.336210038;0.131490146;0.137312686;Value;0.09;0.27;-0.43;0.07
4621;4621;4621;GV_014954;28.02.2017;LNN;LINDSAY CORP;2017Q1;2017Q2;03.04.2017;30.03.2017;-0.259996841;-0.082096642;-0.182947248;-0.16629449;-0.210951894;-0.244322155;-0.235465203;-0.281717347;31;0.881519395;81.42792;1.217391304;0.570520932;-0.216611063;-0.49872834;-0.16999474;-0.397539704;-0.581781989;-0.897049356;3;6;1;45;-0.422357465;-0.282064021;-0.155244527;-0.038962374;-0.223393277;1.012745688;-0.11835095;0.418750221;0.08762739;1.018643823;1.109993979;1.248347375;Growth;1.08;0.87;0.07;1.38
4645;4645;4645;GV_015343;31.03.2017;MLI;MUELLER INDUSTRIES;2017Q1;2017Q1;07.05.2017;25.04.2017;-0.123732307;0.03500471;0.006176648;0.151034735;0.082264866;-0.008491436;0.25003905;-0.152110326;31;-0.316452215;15.84391;0.173913043;0.480359591;-0.041310452;1.483133035;0.612471995;0.348212526;-0.400052344;-0.740867073;79;6;1;45;-0.0089541;-0.327728322;-0.055127379;0.439718472;0.205248814;0.275365142;0.702068547;0.50948471;-0.462610263;-0.380801029;-0.387001063;-0.267569857;Growth;-0.16;-0.13;-0.36;-0.05
4669;4669;4669;GV_015414;31.03.2017;TECH;BIO-TECHNE CORP;2017Q1;2017Q3;22.05.2017;02.05.2017;-0.085493798;-0.196325336;-0.067944141;0.051687499;0.0190731;-0.010203994;-0.214161838;0.053253037;31;-0.117623372;26.72897;0.304347826;0.481361384;0.310415368;-0.138443264;-0.341976583;-0.401565422;0.206469781;0.396322465;89;5;16;44;-0.18337531;1.212863495;0.83231062;-0.088277893;-0.474537026;-0.283606276;-0.021561665;0.720181297;0.080977545;-0.329293827;-0.262999565;-0.108731933;Growth;0.4;0.3;0.52;0.87
4693;4693;4693;GV_015459;31.03.2017;TG;TREDEGAR CORP;2017Q1;2017Q1;05.05.2017;02.05.2017;-0.213635557;-0.278641214;-0.144340537;-0.182926481;-0.18912014;-0.201308395;-0.131793176;-0.248317518;31;-0.431197106;9.5621;0.434782609;1.267346831;-0.280428065;2.223644494;1.178430188;1.062741187;-0.570538075;-0.799244227;7;8;14;48;-0.222812788;-0.339705954;-0.360756085;0.007078406;0.115320798;-0.29442922;-0.288050258;-0.259837357;-0.476020735;-0.409149028;-0.23814064;0.314987571;Value;-0.02;-0.15;-0.31;0.03
4717;4717;4717;GV_015668;31.03.2017;IX;ORIX CORP;2017Q1;2016Q4;30.06.2017;15.05.2017;16.52827384;24.44816526;13.55061704;7.309041818;7.8565144;9.363136608;7.712168659;11.75359647;18;23.69330085;1330.27897;0.45623913;1.455894759;2.847316288;0.339812745;0.656764918;0.48331661;0.24627646;0.292786113;39;4;9;26;1.822558238;0.396871255;0.176903547;0.071148946;0.712459154;0.123467112;-0.01007941;-0.565738772;4.036408652;4.669044878;5.417254856;5.614661523;Value;0.07;0.21;0.62;0.15
4741;4741;4741;GV_016401;31.03.2017;CRUS;CIRRUS LOGIC INC;2017Q1;2016Q4;01.06.2017;03.05.2017;-0.105567886;0.577846782;-0.21179223;0.215466226;0.15343575;0.083301699;-0.017489793;0.178036952;31;0.570849076;64.42;-0.043478261;-0.125988611;0.309037869;0.478395752;0.554791452;-1.293698599;1.178882177;1.49000505;125;7;18;59;0.057838647;0.336100578;0.42366678;-0.722425633;-1.217569094;1.308096368;0.103853379;0.385504592;0.657597148;0.757790412;0.636167779;0.664685811;Growth;0.31;0.45;0.08;0.17
4765;4765;4765;GV_016486;31.03.2017;BCC;BOISE CASCADE CO;2017Q1;2017Q1;05.05.2017;03.05.2017;-0.088851109;-0.239564026;-0.020137627;-0.102663469;-0.111466222;-0.085470939;0.674269382;-0.109773777;31;-0.204582244;21.96833;-0.043478261;-0.125988611;-0.182929278;2.066307993;1.181640724;1.258425059;-0.003802497;-0.081098743;139;6;1;66;-0.172798896;-0.613821794;-0.417045784;0.139544491;0.20137325;-0.36139181;-0.175974287;-0.184146043;-0.53233863;-0.267206109;-0.015699477;0.308647381;Value;-0.01;-0.17;-0.48;0.2
4789;4789;4789;GV_016597;31.03.2017;LSCC;LATTICE SEMICONDUCTOR CORP;2017Q1;2017Q1;05.06.2017;09.05.2017;-0.223055205;-0.096377554;-0.08925279;-0.322411575;-0.270304501;-0.22312639;-0.256368435;-0.274581997;31;-0.481467555;6.81;-0.043478261;-0.125988611;-0.233738337;-1.460424818;0.880458203;0.446321227;-0.154065287;0.241566534;125;7;18;59;0.57382427;0.018782935;-1.111585498;0.609587937;0.24631579;0.460989825;-1.096045712;0.218629602;0.182764572;0.535374943;14.02552216;-1.79275792;Growth;1.96;0.82;0.67;2.42
4813;4813;4813;GV_016653;31.03.2017;TMHC;TAYLOR MORRISON HOME CORP;2017Q1;2017Q1;17.05.2017;27.04.2017;0.352148785;0.444107396;0.464950604;-0.105865349;0.140715073;-0.007920583;0.454567192;0.713498963;31;-0.185372214;23.02;-0.043478261;-0.125988611;-0.17326463;0.727110117;0.415912412;0.445460305;0.494734763;0.590319203;67;1;4;35;-0.17231489;-0.455084588;-0.396012446;0.3027305;-0.266500901;-0.029065866;-0.437331397;-0.661611232;-0.503379959;-0.387643046;-0.441386031;0.376955838;Value;0.09;0.27;-0.43;0.07
4837;4837;4837;GV_017035;31.03.2017;MCY;MERCURY GENERAL CORP;2017Q1;2017Q1;16.05.2017;01.05.2017;0.471836605;0.273355629;-0.054044528;0.112828169;-0.016777521;-0.051887668;0.541242104;0.482246343;31;0.179803759;43.01188;2.663043478;2.11744701;0.161106836;-0.453479598;-0.266061444;-0.716953792;-0.147502142;-0.146639925;114;4;13;41;-0.022246323;-0.542085964;-0.230414956;-0.604304417;0.303255095;-0.21051684;-0.208162459;-0.212132856;-0.33694414;0.549502577;0.565284933;0.348318995;Value;0.01;0.02;-0.28;0.22
4861;4861;4861;GV_017277;31.03.2017;NVEE;NV5 GLOBAL INC;2017Q1;2017Q1;27.05.2017;04.05.2017;-0.306143597;-0.265399349;-0.23143893;-0.201133999;-0.257195949;-0.286713686;-0.299728359;-0.334089663;31;0.091908925;38.2;-0.043478261;-0.125988611;-0.303781202;1.333747904;2.414283766;1.06630613;1.733518215;2.368792587;121;6;2;56;-0.427502263;-0.396318287;-0.198239506;-0.525144545;-0.847815557;0.617185898;-0.217407289;0.069811336;-0.011435372;1.166507356;1.874003203;1.211691049;Growth;0.96;0.69;-0.27;2.72
4885;4885;4885;GV_017408;31.03.2017;NVGS;NAVIGATOR HOLDINGS LTD;2017Q1;2017Q1;05.06.2017;08.05.2017;-0.042516767;-0.234039274;0.05727308;-0.19518765;-0.152699582;-0.124968246;-0.285540737;0.079732001;11;-0.401113929;11.20903;-0.043478261;-0.125988611;-0.267621018;1.568208496;0.638312131;-0.125476311;-0.766768041;-0.568736759;104;3;7;51;-0.020910826;1.550847161;-0.198455279;0.280956517;-0.287549484;-0.386408534;-0.470463056;-0.625461983;0.193616016;-0.330907648;-0.033368665;1.818634518;Value;0.24;-0.29;0.19;0.39
4909;4909;4909;GV_017928;31.03.2017;IQV;IQVIA HOLDINGS INC;2017Q1;2017Q1;23.05.2017;03.05.2017;3.20263456;1.935341271;3.943840633;1.040611153;1.470979718;2.269673729;2.156643179;3.58129457;31;0.903659508;82.64;-0.043478261;-0.125988611;2.610167345;0.516727222;-0.37490795;-0.5158255;2.115469065;1.23657269;89;5;16;44;1.544524017;0.217082754;-0.137896884;0.489688545;0.272355655;-0.270917832;-0.262960464;-0.049239154;0.195583232;0.297934455;0.822115499;1.428541193;Growth;0.72;0.3;0.57;0.66
4933;4933;4933;GV_018004;31.03.2017;CCS;CENTURY COMMUNITIES INC;2017Q1;2017Q1;26.05.2017;04.05.2017;-0.170402163;-0.292988561;-0.015042235;-0.118177342;-0.192270625;-0.246274472;-0.123993782;-0.157372641;31;-0.12992311;26.05561;-0.043478261;-0.125988611;-0.273317581;0.707294578;0.433632698;-0.054771598;1.413585055;2.730079079;67;1;4;35;-0.325063414;-0.546308096;-0.17125017;0.653536549;-0.113495812;-0.406384425;-0.160893494;-0.440754184;-0.371656383;0.397846328;0.192287638;0.089341002;Value;0.09;0.27;-0.43;0.07
4957;4957;4957;GV_018043;31.03.2017;NWSA;NEWS CORP;2017Q1;2017Q3;10.05.2017;09.05.2017;2.14890436;4.560860628;-0.10376809;-0.29350571;0.64773737;0.973837815;1.747950653;5.443068718;31;-0.385407176;12.06891;0.173913043;0.67834546;0.891794959;0.410159307;0.652821882;1.120580577;-0.349721482;-0.535659599;115;0;15;47;4.695040737;-0.211982722;-0.528484129;-0.806593254;-1.062457641;0.364374471;-0.538960869;-0.618180387;-0.26091983;0.004941151;0.347049955;-15.45278338;Value;-6.33;7.68;0.11;-8.74
4981;4981;4981;GV_018289;31.03.2017;ASC;ARDMORE SHIPPING CORP;2017Q1;2017Q1;24.05.2017;03.05.2017;-0.196537583;-0.235123496;-0.034426228;-0.257509966;-0.257290939;-0.249339951;-0.31512815;-0.205618033;1;-0.477944916;7.00285;-0.043478261;-0.125988611;-0.328560238;2.112506987;1.994669888;0.449304139;-0.449663475;2.292673167;104;3;7;51;-0.216933019;0.461144056;-0.886048933;0.773804729;-0.041865381;-0.184906929;-0.64202025;-0.632594129;-0.14087935;-0.290530666;0.860158619;-1.734393126;Value;0.24;-0.29;0.19;0.39
5005;5005;5005;GV_018293;31.03.2017;CWEN;CLEARWAY ENERGY INC;2017Q1;2017Q1;14.05.2017;02.05.2017;1.093668114;0.210683313;2.629293357;-0.26809396;0.156958278;0.437236159;-0.131820993;0.78530601;31;-0.386825365;11.99127;1.130434783;3.239454814;-0.094594382;0.405855226;0.749714597;1.114020595;-0.23398063;0.394612134;120;10;23;38;0.360503366;2.455600423;-0.624579776;1.43316886;0.591726595;-0.391522394;-0.556572396;-0.602419377;-0.081838917;-0.589637332;-0.357415867;-4.733732361;Growth;-0.36;-0.59;-0.08;-4.73
5029;5029;5029;GV_018312;31.03.2017;USFD;US FOODS HOLDING CORP;2017Q1;2017Q1;23.05.2017;09.05.2017;1.1936689;0.048095103;1.670906234;0.110744405;0.33678132;0.742499707;5.824631856;0.906309556;31;-0.079793493;28.8;-0.043478261;-0.125988611;0.679832418;0.435257127;-1.642056457;-1.28939399;-0.423959504;-0.418931108;53;2;6;15;1.466222696;-0.66602207;-0.466195555;0.564321578;0.564992514;-0.454478235;-0.313007935;0.004716415;-0.508704978;0.093874649;0.748969093;1.932511429;Value;0.23;0.08;-0.49;0.4
5053;5053;5053;GV_018320;31.03.2017;FOXF;FOX FACTORY HOLDING CP;2017Q1;2017Q1;05.05.2017;03.05.2017;-0.284322161;-0.241100008;-0.210701338;-0.096208885;-0.167692092;-0.222715376;-0.254503642;-0.308874064;31;-0.060613968;29.85;-0.043478261;-0.125988611;-0.187638261;1.244452208;0.165334788;-0.466837841;0.250650212;0.62011769;13;1;0;2;-0.185033477;0.008396175;0.354806395;-0.24216266;-0.436722523;0.366225334;0.563246953;1.056752019;0.435289898;0.986178866;0.698245197;0.529770956;Growth;-0.13;-0.06;-0.21;0.01
5077;5077;5077;GV_018494;31.03.2017;IRT;INDEPENDENCE REALTY TRUST;2017Q1;2017Q1;29.05.2017;02.05.2017;-0.123386753;-0.328597832;0.146104931;-0.178174483;-0.185581781;-0.249031691;-0.326446365;-0.145149021;31;-0.480084803;6.8857;0.739130435;3.904012443;-0.263929376;0.375209614;0.117504042;0.056250928;0.672171185;3.237969998;96;9;8;58;0.0986654;0.82174764;0.400875323;1.174623554;0.172581947;-0.52167644;-0.366745358;-0.421724397;0.606720589;0.250277453;-0.010483347;0.64506476;Value;0.01;0.23;0.58;0.58
5101;5101;5101;GV_018498;31.03.2017;MUSA;MURPHY USA INC;2017Q1;2017Q1;17.05.2017;01.05.2017;-0.006961028;-0.258997652;0.072319372;-0.268424313;-0.255612791;-0.143127075;2.327341851;-0.067123434;31;0.63242686;67.79113;-0.043478261;-0.125988611;0.04696972;-1.282294578;-0.820813933;-0.418116946;-0.488619563;-1.340844807;14;1;3;62;-0.187319058;-0.776490796;-0.516942429;0.210497496;0.380103127;-0.442612962;-0.623496206;0.448916091;-0.519750188;1.383270459;15.08484987;-9.335331338;Growth;15.08;1.38;-0.52;-9.34
5125;5125;5125;GV_018564;31.03.2017;AAOI;APPLIED OPTOELECTRONICS INC;2017Q1;2017Q1;02.06.2017;04.05.2017;-0.280577796;-0.19677178;-0.230119311;0.021460223;-0.085146215;-0.152357765;-0.265315806;-0.270139743;31;0.249181034;46.81;-0.043478261;-0.125988611;-0.224278646;1.341028508;1.500091563;2.057275546;1.897546496;2.822527321;26;7;20;11;-0.35118178;0.805186418;1.282485144;-0.644007795;-1.005499387;0.653494732;0.961850618;0.256787483;0.295814667;-0.015002621;-0.096785163;-0.119382625;Value;0.45;0.68;0.5;0.06
5149;5149;5149;GV_018578;31.03.2017;RMAX;RE/MAX HOLDINGS INC;2017Q1;2017Q1;19.05.2017;04.05.2017;-0.268956308;-0.183575091;-0.12658502;-0.172291663;-0.156158783;-0.193904434;-0.317544999;-0.379798087;31;0.295463421;49.34377;0.739130435;0.514684172;-0.198183201;0.223965903;-0.637454949;-0.096508114;-0.263021538;-0.281123591;119;9;17;57;-0.359562244;1.654583997;0.326586767;0.950582138;1.027941013;0.543822512;0.995697036;4.962766115;1.241239722;0.262409924;0.282118894;1.447802196;Value;0.28;0.26;0.01;0.35
5173;5173;5173;GV_018624;31.03.2017;PINC;PREMIER INC;2017Q1;2017Q3;24.05.2017;08.05.2017;0.092763984;0.272383018;-0.238707991;0.022934104;0.383801124;0.327855049;0.038078482;-1.132137078;31;-0.038566646;31.057;-0.043478261;-0.125988611;-0.084513223;-0.18334265;-0.606611989;-0.713522231;0.592930275;0.726235674;62;5;11;31;-0.065018061;0.797784447;-0.05059573;-0.861310375;-0.298566671;0.110676915;-0.824219443;-1.274016794;-0.201909753;-0.455363441;-0.405001875;0.249583746;Value;-0.41;-0.54;-0.19;0.23
5197;5197;5197;GV_018626;31.03.2017;GLOB;GLOBANT SA;2017Q1;2017Q1;18.05.2017;18.05.2017;-0.291864774;-0.277113204;-0.242221565;-0.117313343;-0.204373871;-0.241787569;-0.273320616;-0.298472291;19;0.074921346;37.27;-0.043478261;-0.125988611;-0.157716471;-0.044396311;0.102838441;-0.252128811;0.799835418;1.299099817;75;7;19;37;-0.207019871;-0.030785705;0.362690723;-0.870617467;-0.953513446;0.16519867;0.306071133;1.165051399;0.854550842;1.829330074;1.773352432;0.958553152;Growth;1.05;1.18;0.51;0.61
5221;5221;5221;GV_018629;31.03.2017;LGIH;LGI HOMES INC;2017Q1;2017Q1;19.05.2017;09.05.2017;-0.196908573;-0.271242989;-0.026094676;-0.080301129;-0.150752297;-0.223023636;-0.193969004;-0.22045131;31;-0.005449999;32.87;-0.043478261;-0.125988611;-0.253626376;0.189351593;0.038830336;-1.237205157;0.836501451;2.161681159;67;1;4;35;-0.326425799;-0.289127907;0.122518514;0.844108203;0.065618975;-0.302965343;0.127191166;-0.195457314;-0.183863385;0.324686833;0.046900057;0.0459193;Growth;0.09;0.27;-0.43;0.07
5245;5245;5245;GV_018699;31.03.2017;PTC;PTC INC;2017Q1;2017Q2;23.05.2017;19.04.2017;0.048430006;0.291245301;0.11886104;-0.244003621;-0.210880652;-0.14640377;-0.06865553;0.022241726;31;0.374852592;53.69;-0.043478261;-0.125988611;0.649716655;0.634740078;0.307081491;0.307409687;-0.566390812;-0.917986392;10;7;19;60;0.519230252;-0.256088008;-0.54078864;0.194435029;0.289493962;0.212225617;-0.556983486;1.670717737;1.625887763;4.77344787;12.53368703;-60.17988276;Growth;7.62;1.29;0.66;-23.51
5288;5288;5288;GV_018978;31.03.2017;STKS;ONE GP HOSPITALITY (THE);2017Q1;2017Q1;08.06.2017;15.05.2017;-0.332920593;-0.3505932;-0.235918128;-0.235084097;-0.280658356;-0.312967207;-0.346409176;-0.408004196;31;-0.56695344;2.13;-0.043478261;-0.125988611;-0.361382328;-3.097512577;-1.698661627;-0.615437782;0.460358784;1.042324243;122;1;5;34;-0.293343133;-0.685631209;-0.677688171;-0.07925115;1.083859399;-0.332354168;-1.751060695;1.836056025;-0.35574061;1.631802757;-4.173566212;-1.990991107;Growth;-0.32;0.02;-0.36;-0.65
5318;5318;5318;GV_019305;31.03.2017;PLPC;PREFORMED LINE PRODUCTS CO;2017Q1;2017Q1;26.05.2017;05.05.2017;-0.283436941;-0.272874638;-0.219237781;-0.210688817;-0.259713171;-0.285840281;-0.277785207;-0.293707541;31;0.207408941;44.52315;0.826086957;0.749261837;-0.32968553;-0.627487423;-0.50998422;0.085461639;-0.485398388;-0.777868314;46;6;1;22;-0.472003872;-0.494653061;-0.350350838;-0.419278994;-0.689471409;0.092685558;-0.392539354;-0.480870879;-0.347405992;0.317885447;1.012336622;1.004466916;Value;0.26;-0.02;-0.33;0.02
5342;5342;5342;GV_019391;31.03.2017;MBUU;MALIBU BOATS INC;2017Q1;2017Q3;24.05.2017;03.05.2017;-0.302767209;-0.269523646;-0.21425092;-0.12816416;-0.175299167;-0.232796637;-0.285723685;-0.390104647;31;-0.195966619;22.44;-0.043478261;-0.125988611;-0.304123437;0.814728899;0.24852818;-0.132193926;0.127732179;0.302054172;88;1;4;43;-0.357644148;0.204005444;0.397008687;-0.05138214;0.907191615;0.464197708;3.459038632;2.457328729;-0.093744677;-0.092496862;-0.185426459;-0.055089029;Growth;0.27;0.34;-0.05;0.3
5366;5366;5366;GV_019516;31.03.2017;IBP;INSTALLED BLDG PRODUCTS INC;2017Q1;2017Q1;18.05.2017;05.05.2017;-0.240019642;-0.289953801;-0.118223038;-0.149116148;-0.175330831;-0.167924921;-0.094729471;-0.323657176;31;0.301636671;49.68173;-0.043478261;-0.125988611;-0.097978463;0.422736165;0.500212347;-0.300873957;0.994243408;1.56721521;67;1;4;35;-0.234733663;-0.281578554;-0.289965415;0.52866863;0.562164004;-0.273604876;0.242089937;2.47117874;0.001305496;0.791976336;1.450937248;2.026463199;Growth;0.27;0.34;-0.05;0.3
5390;5390;5390;GV_019517;31.03.2017;OGS;ONE GAS INC;2017Q1;2017Q1;08.05.2017;01.05.2017;0.47616816;-0.320250912;0.362636022;0.741464034;0.746249399;0.633974877;0.22060463;0.583913954;31;0.444829912;57.52097;1.782608696;1.160893177;0.22223315;-0.459181107;-0.785030488;-1.193019259;-0.08500631;-0.923846696;57;10;23;28;-0.046634818;0.827268108;0.701852695;-0.019138606;0.1740856;-0.559681116;0.28865801;-0.211388027;-0.063906264;-0.341008274;-0.321000746;-0.166379668;Value;-0.28;-0.39;0;-0.15
5414;5414;5414;GV_019518;31.03.2017;KN;KNOWLES CORP;2017Q1;2017Q1;07.05.2017;26.04.2017;-0.086017735;-0.187130703;-0.096870774;-0.270635135;-0.228540783;-0.198123036;-0.188096456;0.114412087;31;-0.248025331;19.59;-0.043478261;-0.125988611;-0.083222512;1.751299609;1.988373497;-0.34147066;-1.062728612;-1.47113332;47;7;20;23;0.279602757;-0.164130348;-0.671795002;-0.216795923;-0.739054638;-0.265814583;-0.594701029;-0.264455935;0.427742707;1.431109274;4.298597913;-6.353787779;Value;4.3;1.43;0.43;-6.35
5438;5438;5438;GV_019647;31.03.2017;LC;LENDINGCLUB CORP;2017Q1;2017Q1;22.05.2017;04.05.2017;0.533442421;1.064909854;1.80382512;-0.609170465;0.754070201;0.486826144;-0.063877465;0.086268942;31;-0.049654239;30.45;-0.043478261;-0.125988611;0.033050441;1.554611515;1.354916133;1.004574405;-0.280712836;1.682485079;32;4;9;14;3.070118044;1.887933564;-1.418990334;1.821255674;0.880780581;0.196172683;-1.168776145;0.018934581;3.717696915;1.496564874;0.95726528;-4.91083358;Value;0.96;1.5;3.72;-4.91
5462;5462;5462;GV_019998;31.03.2017;MEDP;MEDPACE HOLDINGS INC;2017Q1;2017Q1;22.05.2017;01.05.2017;-0.180431258;-0.277440065;-0.167553048;-0.12264981;-0.152200887;-0.159179456;-0.254203007;-0.093633623;31;-0.014217782;32.39;-0.043478261;-0.125988611;-0.153905255;0.472344885;-1.642056457;-1.28939399;0.265925629;-0.418931108;89;5;16;44;-0.153358012;0.582704298;0.182737218;-0.338586396;-0.643645777;-0.349569307;-0.24667694;-0.120060922;0.630795563;0.455880918;0.759664271;1.066246755;Growth;0.4;0.3;0.52;0.87
5486;5486;5486;GV_020116;31.03.2017;PAYC;PAYCOM SOFTWARE INC;2017Q1;2017Q1;22.05.2017;02.05.2017;-0.138185161;-0.108431558;-0.226809614;0.198135413;0.137247956;0.007932;-0.24040482;-0.336683452;31;0.496670343;60.35902;-0.043478261;-0.125988611;0.199562345;0.586696478;0.83367166;0.82127083;1.506601522;2.522845023;74;6;2;56;-0.004230566;1.781638505;1.946070805;-0.783554801;1.100624682;-0.000661913;4.268683809;7.310598026;2.310288179;0.805811531;0.454271739;0.5019215;Growth;0.31;0.5;0.4;0.44
5510;5510;5510;GV_020126;31.03.2017;WMS;ADVANCED DRAINAGE SYSTEMS;2017Q1;2016Q4;08.06.2017;25.05.2017;-0.167012053;-0.338204363;-0.054797654;-0.460079729;-0.393965;-0.295213684;-0.107016994;-0.236336538;31;-0.253829603;19.27224;0.260869565;0.577006222;-0.180186497;0.624468977;0.847916464;-0.113568915;-0.542770538;-0.211193634;18;6;1;7;-0.023241223;-0.759479491;-1.151653301;0.362468636;0.383412128;-0.533352858;-1.631576872;0.313120777;-0.179223728;6.902075973;-2.075791026;-1.207240355;Growth;-2.08;6.9;-0.18;-1.21
5534;5534;5534;GV_020130;31.03.2017;AY;ATLANTICA SUSTAINABLE INFRA;2017Q1;2017Q1;30.05.2017;15.05.2017;1.38680943;1.210910521;2.664825692;-0.379511777;0.328659718;0.560351988;-0.140232356;0.582028121;11;-0.351397676;13.93079;1.043478261;2.444716862;-0.032765439;-0.476537172;0.446864468;0.041554631;0.107760893;3.019854364;120;10;23;38;0.380374477;3.136097859;-0.986829422;1.066228369;0.874104404;-0.146622205;-0.656094591;-0.485237356;0.042983628;-0.584577457;-0.415082752;-1.841585565;Value;-0.42;-0.46;-0.21;0.36
5563;5563;5563;GV_020412;31.03.2017;ARES;ARES MANAGEMENT CORP;2017Q1;2017Q1;11.05.2017;08.05.2017;0.614762715;0.841288949;1.526413043;-0.752619793;-0.055873616;-0.107334603;-0.106952801;0.002189133;31;-0.34804546;14.11431;0.945652174;2.432958979;-0.119889299;-0.012031861;-0.054571312;0.221608529;4.223708101;1.704861374;11;4;9;8;0.209090339;-0.015323745;-1.971510088;1.258524163;0.813753751;0.018337468;-1.58945374;-0.200824398;-0.14566668;0.010729114;-0.004449126;-0.880022137;Value;0;0.01;-0.15;-0.88
5587;5587;5587;GV_020517;31.03.2017;LMB;LIMBACH HOLDINGS INC;2017Q1;2017Q1;07.06.2017;15.05.2017;-0.308775496;-0.338626891;-0.228643995;-0.245401267;-0.292706192;-0.311494407;-0.245024543;-0.382533671;31;-0.36876501;12.98;-0.043478261;-0.125988611;-0.354288574;-2.005128563;-1.716693616;-1.739813689;0.000314568;-0.418931108;30;6;1;13;-0.451057193;-0.802707529;-0.598173774;-0.40123406;0.552330777;-0.340074163;-0.976304046;-0.261776648;-0.535164337;2.262874272;-1.724243993;-1.429435541;Value;-2.38;1.17;-0.45;-1.26
5611;5611;5611;GV_020644;31.03.2017;GPRO;GOPRO INC;2017Q1;2017Q1;11.05.2017;27.04.2017;-0.222499641;-0.156365888;-0.242221565;-1.642234328;-0.878110659;-0.682017851;-0.134373716;-0.224438486;31;-0.442560518;8.94;-0.043478261;-0.125988611;-0.159021741;1.504918949;1.272766944;-0.515801248;-1.180623625;-1.092530532;31;1;4;35;0.762935941;-2.461439734;-4.92928747;-0.870617467;-0.205130847;0.216085674;-6.861586329;0.360445147;-0.028550117;-1.363661527;-1.054611936;-0.707009633;Growth;-1.05;-1.36;-0.03;-0.71
5635;5635;5635;GV_020661;31.03.2017;VVX;V2X INC;2017Q1;2017Q1;03.06.2017;09.05.2017;-0.2651845;-0.212671054;-0.210379294;-0.145253562;-0.186199213;-0.247467554;-0.057932166;-0.347662647;31;-0.119979166;26.6;-0.043478261;-0.125988611;-0.322381975;1.73823365;0.659835187;1.300052443;-0.660116944;-0.392114405;1;6;1;0;-0.420098773;-0.613441229;-0.30652336;-0.393716458;0.595438881;0.307637287;0.583058014;-0.047040836;-0.518929436;-0.182626786;-0.292782969;-0.124408187;Value;-0.16;-0.13;-0.36;-0.05
5659;5659;5659;GV_020686;31.03.2017;SYF;SYNCHRONY FINANCIAL;2017Q1;2017Q1;02.05.2017;28.04.2017;14.55939293;29.91785021;8.277485107;6.110255229;6.95662344;5.238108422;3.91765862;6.940883168;31;-0.178748337;23.38263;0.52173913;0.860249921;3.329846427;1.557015092;0.65394401;-0.12905338;-0.373034737;-0.17024895;32;4;9;14;6.769989872;0.498385973;0.577069293;-0.212036576;0.962734153;0.392118715;0.193404992;-0.309864063;-0.139693557;-0.304174229;-0.36771875;-0.181778601;Value;-0.47;-0.31;0.08;-0.03
